Reading_ID,Date,Shift_ID,Section_Code,Station_Code,Machine_Code,Air_Temperature_K,Process_Temperature_K,Rotational_Speed_RPM,Torque_Nm,Tool_Wear_Min,Predicted_Failure_Probability,Predicted_Failure
1,01-06-2026,A,EA,EA01,MC-EA01,300.9,310.9,1497,52,80.6,0,0
2,01-06-2026,A,EA,EA02,MC-EA02,296.6,306.5,1523,42.6,95.4,0,0
3,01-06-2026,A,EA,EA03,MC-EA03,298.3,308.1,1455,43.9,169,0,0
4,01-06-2026,A,CB,CB01,MC-CB01,299.1,308.6,1690,29.3,183.5,0,0
5,01-06-2026,A,CB,CB02,MC-CB02,299.4,308.7,1432,49.5,164.6,0,0
6,01-06-2026,A,BP,BP03,MC-BP03,296.7,307.3,1700,61.6,191.8,0.005,0
7,01-06-2026,A,PS,PS01,MC-PS01,296.3,306.1,1130,20.9,181.1,0,0
8,01-06-2026,A,PS,PS02,MC-PS02,296.6,307.7,1475,34.8,173.9,0,0
9,01-06-2026,A,PS,PS03,MC-PS03,301.1,310.7,1800,46.5,109.2,0,0
10,01-06-2026,A,PS,PS04,MC-PS04,295.5,306.5,1339,51.2,44.5,0,0
11,01-06-2026,A,WB,WB01,MC-WB01,296.4,305.6,1594,31.5,187.5,0,0
12,01-06-2026,A,WB,WB03,MC-WB03,292.2,300.8,1653,44.3,104.9,0,0
13,01-06-2026,A,FA,FA02,MC-FA02,297.3,309.7,1319,30.4,63.9,0,0
14,01-06-2026,A,FI,FI02,MC-FI02,297,307.8,1505,33.8,203.9,0,0
15,01-06-2026,A,FI,FI03,MC-FI03,297.8,308.2,1685,37.7,48.2,0,0
16,01-06-2026,B,EA,EA01,MC-EA01,296.9,304.8,1511,42.7,49.5,0,0
17,01-06-2026,B,EA,EA02,MC-EA02,299.2,309.1,1558,51.9,137,0,0
18,01-06-2026,B,EA,EA03,MC-EA03,298.7,307.5,1546,36.2,208,0,0
19,01-06-2026,B,CB,CB01,MC-CB01,299.5,309.7,1480,36.4,46.7,0,0
20,01-06-2026,B,CB,CB02,MC-CB02,299.5,310,1431,43.4,143,0,0
21,01-06-2026,B,BP,BP03,MC-BP03,299,309.2,1696,40.3,188.9,0,0
22,01-06-2026,B,PS,PS01,MC-PS01,296.9,307.3,1677,23.7,83.5,0,0
23,01-06-2026,B,PS,PS02,MC-PS02,299.1,308.3,1361,38.2,69.7,0,0
24,01-06-2026,B,PS,PS03,MC-PS03,297.1,307.5,1455,37.2,141.9,0,0
25,01-06-2026,B,PS,PS04,MC-PS04,299.4,309.9,1442,34.3,242.6,0.01,0
26,01-06-2026,B,WB,WB01,MC-WB01,297.9,309.5,1562,41.5,213.9,0.005,0
27,01-06-2026,B,WB,WB03,MC-WB03,299.3,307.9,1309,45.9,179.6,0,0
28,01-06-2026,B,FA,FA02,MC-FA02,298,307.5,1488,49.7,110.7,0,0
29,01-06-2026,B,FI,FI02,MC-FI02,301,311.4,1478,50.6,161.4,0,0
30,01-06-2026,B,FI,FI03,MC-FI03,299.6,309.7,1420,46,195.9,0.01,0
31,01-06-2026,C,EA,EA01,MC-EA01,299.3,308.4,1317,59.6,151.6,0,0
32,01-06-2026,C,EA,EA02,MC-EA02,298.7,308.8,1407,33.8,207.9,0,0
33,01-06-2026,C,EA,EA03,MC-EA03,300.7,312.2,1537,55.3,99.1,0,0
34,01-06-2026,C,CB,CB01,MC-CB01,301.1,310.8,1544,39.3,143.9,0,0
35,01-06-2026,C,CB,CB02,MC-CB02,300.5,312,1441,41.2,248.6,0.515,1
36,01-06-2026,C,BP,BP03,MC-BP03,298,310.1,1490,49.1,33,0,0
37,01-06-2026,C,PS,PS01,MC-PS01,299.4,307.8,1296,53.8,109.1,0,0
38,01-06-2026,C,PS,PS02,MC-PS02,300.1,311.4,1577,28.7,204.4,0,0
39,01-06-2026,C,PS,PS03,MC-PS03,298.1,309.4,1378,47.3,107.2,0,0
40,01-06-2026,C,PS,PS04,MC-PS04,298.9,310.2,1229,28.5,195,0.005,0
41,01-06-2026,C,WB,WB01,MC-WB01,301.4,312.6,1310,35.9,89.7,0.005,0
42,01-06-2026,C,WB,WB03,MC-WB03,295.6,306.3,1605,49.4,96.3,0,0
43,01-06-2026,C,FA,FA02,MC-FA02,300.2,310.6,1675,49.5,204,0,0
44,01-06-2026,C,FI,FI02,MC-FI02,299.6,310.7,1435,32.4,112.3,0,0
45,01-06-2026,C,FI,FI03,MC-FI03,296.7,307.2,1822,21.6,79.4,0,0
46,02-06-2026,A,EA,EA01,MC-EA01,298.4,308.4,1581,39.9,43,0,0
47,02-06-2026,A,EA,EA02,MC-EA02,302.1,312,1628,52.9,26.3,0,0
48,02-06-2026,A,EA,EA03,MC-EA03,296.7,306.6,1669,34,21.1,0,0
49,02-06-2026,A,CB,CB01,MC-CB01,296.7,307,1630,29.8,213.4,0,0
50,02-06-2026,A,CB,CB02,MC-CB02,296.4,306.5,1397,35.9,87.9,0,0
51,02-06-2026,A,BP,BP03,MC-BP03,300,310.2,1579,29.2,88.3,0,0
52,02-06-2026,A,PS,PS01,MC-PS01,301.4,311.4,1403,45.8,26.4,0,0
53,02-06-2026,A,PS,PS02,MC-PS02,297.7,307.6,1279,48.8,54.4,0,0
54,02-06-2026,A,PS,PS03,MC-PS03,297.7,305.9,1607,40.4,22,0,0
55,02-06-2026,A,PS,PS04,MC-PS04,296.4,304.4,1502,49.3,98.2,0,0
56,02-06-2026,A,WB,WB01,MC-WB01,298.3,307.6,1468,42.2,116.1,0,0
57,02-06-2026,A,WB,WB03,MC-WB03,298.2,308.9,1455,41.3,142.9,0,0
58,02-06-2026,A,FA,FA02,MC-FA02,299.6,309.1,1292,31.4,44.6,0,0
59,02-06-2026,A,FI,FI02,MC-FI02,297.2,306.5,1436,43.3,192.1,0,0
60,02-06-2026,A,FI,FI03,MC-FI03,299.2,309.5,1408,57.2,7.4,0,0
61,02-06-2026,B,EA,EA01,MC-EA01,299.1,308.8,1446,36.8,19.4,0,0
62,02-06-2026,B,EA,EA02,MC-EA02,294.8,305.4,1267,34.3,242.2,0.005,0
63,02-06-2026,B,EA,EA03,MC-EA03,297.5,304.9,1600,37.3,70.7,0,0
64,02-06-2026,B,CB,CB01,MC-CB01,296,305.9,1206,47,235.8,0.86,1
